"Species","1975","1976","1977","1978","1979","1980","1981","1982","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Greater White-fronted Goose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Snow Goose",0,0,0,0,0.0375,0,0,0,0,0,0,0.0086,0,0,0.0111,0.0095,0,0,0,0,0,0.0093,0,0.0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cackling Goose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0.0087,0,0,0,0,0,0.0149
"Canada Goose",4.9278,11.6374,9.0714,17.3435,21.6875,23.5844,21.8182,28.4643,17.056,22.1864,26.5207,15.5086,21.867,20.6598,24.4556,11.4692,20.9608,16.7746,19.4286,31.5468,33.598,29.014,35.7409,43.2709,13.5824,26.2114,41.8857,21.4667,49.1298,38.7297,27.3662,39.8732,43.1559,39.6435,44.6825,53.4059,62.9578,37.6338,51.5826,38.6115,45.4877,29.1373,37.434,44.1252,25.7803
"Mute Swan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197,0,0.0325,0,0.0356,0,0,0,0.0169,0,0,0,0.0181,0.0099,0,0.0087,0.0552,0.0591,0,0.0419,0.0278,0.0298
"Trumpeter Swan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163,0,0.0089,0,0.0105,0.0086,0,0,0,0,0,0.0893,0,0.0609,0.1471,0,0,0.0755,0.0278,0.0149
"Tundra Swan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099,0,0,0.0092,0,0,0,0,0
"Wood Duck",1.0928,1.6484,0.6256,0.3664,0.2625,0.026,0,0,0.232,0.0424,0.0413,0.0086,0,0.0103,0,0,0,0.0112,0.0099,0,0,0,0.0207,0.0394,0.011,0,0,0.0356,0,0,0,0,0,0,0,0,0.0099,0,0.0087,0,0.0099,0,0.0084,0,0
"Gadwall",0,0.011,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0,0.0294,0,0,0,0,0,0.1036,0.0394,0,0.0813,0,0,0,0,0.0086,0,0.0228,0,0.0095,0,0,0,0,0,0.0099,0,0,0,0
"American Wigeon",0,0.022,0.0293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099,0,0,0,0,0,0,0,0,0,0,0,0.0091,0,0,0,0,0,0,0,0,0
"American Black Duck",3.1443,2.7692,3.5875,0.9008,0.6875,0.7662,1.4646,1.3333,0.408,0.4322,0.3306,0.4828,0.1275,0.2474,0.2889,0.218,0.2059,0.4353,0.2365,0.2266,0.2412,0.1581,0.3109,0.8966,0.3516,0.1789,1.0571,0.8,0.3359,0.399,0.0086,0.3721,0.251,0.3993,0.7773,1.5238,1.3102,0.6854,1.5043,0.5517,1.0246,0.3039,0.3857,0.2087,0.3575
"Mallard",50.8557,52.8901,33.6461,43.8473,35.1875,4.4416,16.3535,6.6905,5.144,2.4661,5.1322,5.2759,3.3607,6.9691,8.3444,7.1848,5.2353,9.6317,9.1823,13.7537,11.2965,11.014,16.601,35.9606,19.7363,19.2195,29.9524,10.4622,7.827,9.9528,4.8137,10.3848,9.7338,9.4474,17.3839,21.3968,43.5831,8.4789,36.1304,16.3218,9.8424,12.1863,15.4969,10.9009,8.7523
"Mallard (Domestic type)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099,0.0101,0,0.0207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American Black Duck x Mallard (hybrid)",0,0,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197,0,0.0244,0.0762,0,0,0,0,0,0,0,0,0,0,0,0,0.0184,0,0,0,0.007,0.0223
"Northern Shoveler",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099,0,0,0,0,0.011,0.0081,0,0,0,0,0,0,0,0,0,0,0.1092,0,0,0.0368,0,0,0,0,0
"Northern Pintail",0.1134,0.0549,0.0391,0.0458,0.05,0.026,0.0202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101,0,0.0104,0,0.011,0,0,0.0178,0,0.0105,0,0,0,0.0071,0.0095,0,0.1191,0,0,0,0,0,0.0084,0,0
"Mallard x Northern Pintail (hybrid)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0087,0,0,0,0,0.007,0
"Green-winged Teal",0.0103,0.0769,0.0098,0.0153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095,0,0,0,0,0,0,0,0,0.0544,0.0099,0,0.087,0.0644,0,0.0882,0,0.0209,0.067
"Green-winged Teal (American)",0,0,0,0,0,0,0,0,0,0,0,0,0.0182,0,0,0,0,0,0,0.0197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0095,0,0,0.1127,0,0,0.0296,0,0,0,0
"Canvasback",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099,0,0,0,0,0,0,0,0
