Species,Count,Year
Canada Goose,4,1980
Ruffed Grouse,5,1980
Herring Gull,24,1993
Rock Pigeon,5,1980
Pileated Woodpecker,1,1980
Hairy Woodpecker,1,1980
Downy Woodpecker,1,1980
Black-capped Chickadee,23,1980
Cedar Waxwing,8,1980
American Tree Sparrow,2,1980
American Goldfinch,3,1980
Evening Grosbeak,5,1980
Mallard,2,1981
Ruffed Grouse,1,1981
Great Horned Owl,2,1981
Pileated Woodpecker,1,1981
Hairy Woodpecker,1,1981
Downy Woodpecker,1,1981
Blue Jay,1,1981
Black-capped Chickadee,42,1981
White-breasted Nuthatch,2,1981
Red-breasted Nuthatch,1,1981
Northern Cardinal,2,1981
American Tree Sparrow,25,1981
Dark-eyed Junco,18,1981
American Goldfinch,3,1981
Evening Grosbeak,1,1981
House Sparrow,3,1981
American Kestrel,1,1982
Rock Pigeon,4,1982
Snowy Owl,1,1982
Downy Woodpecker,5,1982
Black-capped Chickadee,44,1982
White-breasted Nuthatch,7,1982
Northern Cardinal,1,1982
American Tree Sparrow,5,1982
Dark-eyed Junco,7,1982
Purple Finch,1,1982
American Goldfinch,4,1982
Evening Grosbeak,37,1982
Canada Goose,17,1983
Ruffed Grouse,1,1983
Ring-billed Gull,108,1983
Herring Gull,24,1995
Rock Pigeon,5,1983
Pileated Woodpecker,2,1983
Hairy Woodpecker,2,1983
Downy Woodpecker,4,1983
Blue Jay,3,1983
American Crow,2,1983
Black-capped Chickadee,28,1983
White-breasted Nuthatch,2,1983
Golden-crowned Kinglet,1,1983
Northern Shrike,1,1983
American Tree Sparrow,6,1983
Dark-eyed Junco,24,1983
Purple Finch,14,1983
American Goldfinch,31,1983
Evening Grosbeak,1,1983
Canada Goose,49,1984
Ruffed Grouse,1,1984
Rock Pigeon,4,1984
Pileated Woodpecker,1,1984
Hairy Woodpecker,1,1984
Downy Woodpecker,3,1984
Blue Jay,5,1984
American Crow,2,1984
Black-capped Chickadee,38,1984
White-breasted Nuthatch,1,1984
Northern Shrike,1,1984
Northern Cardinal,2,1984
American Tree Sparrow,1,1984
Dark-eyed Junco,27,1984
Pine Grosbeak,5,1984
American Goldfinch,22,1984
Evening Grosbeak,18,1984
House Sparrow,1,1984
Ring-billed Gull,21,1985
Rock Pigeon,24,1985
Great Horned Owl,1,1985
Downy Woodpecker,1,1985
Blue Jay,9,1985
American Crow,4,1985
Black-capped Chickadee,25,1985
White-breasted Nuthatch,1,1985
Brown Creeper,1,1985
American Robin,1,1985
European Starling,3,1985
Northern Cardinal,5,1985
American Tree Sparrow,1,1985
Dark-eyed Junco,8,1985
Purple Finch,3,1985
American Goldfinch,12,1985
Canada Goose,2,1986
Ruffed Grouse,2,1986
Pileated Woodpecker,2,1986
